2022-10-30 01:21:01 - r - INFO: - n_states: 4, n_actions: 2
2022-10-30 01:21:01 - r - INFO: - Start training!
2022-10-30 01:21:01 - r - INFO: - Env: CartPole-v1, Algorithm: A2C, Device: cuda
2022-10-30 01:21:05 - r - INFO: - Episode: 1/1600, Reward: 12.00, Steps:12
2022-10-30 01:21:05 - r - INFO: - Episode: 2/1600, Reward: 27.00, Steps:27
2022-10-30 01:21:05 - r - INFO: - Episode: 3/1600, Reward: 25.00, Steps:25
2022-10-30 01:21:05 - r - INFO: - Episode: 4/1600, Reward: 12.00, Steps:12
2022-10-30 01:21:05 - r - INFO: - Episode: 5/1600, Reward: 11.00, Steps:11
2022-10-30 01:21:05 - r - INFO: - Episode: 6/1600, Reward: 11.00, Steps:11
2022-10-30 01:21:05 - r - INFO: - Episode: 7/1600, Reward: 20.00, Steps:20
2022-10-30 01:21:05 - r - INFO: - Episode: 8/1600, Reward: 30.00, Steps:30
2022-10-30 01:21:05 - r - INFO: - Episode: 9/1600, Reward: 28.00, Steps:28
2022-10-30 01:21:06 - r - INFO: - Episode: 10/1600, Reward: 36.00, Steps:36
2022-10-30 01:21:06 - r - INFO: - Episode: 11/1600, Reward: 13.00, Steps:13
2022-10-30 01:21:06 - r - INFO: - Episode: 12/1600, Reward: 10.00, Steps:10
2022-10-30 01:21:06 - r - INFO: - Episode: 13/1600, Reward: 23.00, Steps:23
2022-10-30 01:21:06 - r - INFO: - Episode: 14/1600, Reward: 11.00, Steps:11
2022-10-30 01:21:06 - r - INFO: - Episode: 15/1600, Reward: 12.00, Steps:12
2022-10-30 01:21:06 - r - INFO: - Episode: 16/1600, Reward: 13.00, Steps:13
2022-10-30 01:21:06 - r - INFO: - Episode: 17/1600, Reward: 20.00, Steps:20
2022-10-30 01:21:06 - r - INFO: - Episode: 18/1600, Reward: 27.00, Steps:27
2022-10-30 01:21:06 - r - INFO: - Episode: 19/1600, Reward: 11.00, Steps:11
2022-10-30 01:21:06 - r - INFO: - Episode: 20/1600, Reward: 33.00, Steps:33
2022-10-30 01:21:06 - r - INFO: - Episode: 21/1600, Reward: 23.00, Steps:23
2022-10-30 01:21:06 - r - INFO: - Episode: 22/1600, Reward: 21.00, Steps:21
2022-10-30 01:21:06 - r - INFO: - Episode: 23/1600, Reward: 10.00, Steps:10
2022-10-30 01:21:06 - r - INFO: - Episode: 24/1600, Reward: 19.00, Steps:19
2022-10-30 01:21:06 - r - INFO: - Episode: 25/1600, Reward: 13.00, Steps:13
2022-10-30 01:21:06 - r - INFO: - Episode: 26/1600, Reward: 27.00, Steps:27
2022-10-30 01:21:06 - r - INFO: - Episode: 27/1600, Reward: 15.00, Steps:15
2022-10-30 01:21:06 - r - INFO: - Episode: 28/1600, Reward: 12.00, Steps:12
2022-10-30 01:21:06 - r - INFO: - Episode: 29/1600, Reward: 42.00, Steps:42
2022-10-30 01:21:06 - r - INFO: - Episode: 30/1600, Reward: 12.00, Steps:12
2022-10-30 01:21:06 - r - INFO: - Episode: 31/1600, Reward: 20.00, Steps:20
2022-10-30 01:21:06 - r - INFO: - Episode: 32/1600, Reward: 18.00, Steps:18
2022-10-30 01:21:06 - r - INFO: - Episode: 33/1600, Reward: 31.00, Steps:31
2022-10-30 01:21:06 - r - INFO: - Episode: 34/1600, Reward: 21.00, Steps:21
2022-10-30 01:21:06 - r - INFO: - Episode: 35/1600, Reward: 17.00, Steps:17
2022-10-30 01:21:06 - r - INFO: - Episode: 36/1600, Reward: 23.00, Steps:23
2022-10-30 01:21:06 - r - INFO: - Episode: 37/1600, Reward: 13.00, Steps:13
2022-10-30 01:21:06 - r - INFO: - Episode: 38/1600, Reward: 12.00, Steps:12
2022-10-30 01:21:06 - r - INFO: - Episode: 39/1600, Reward: 9.00, Steps:9
2022-10-30 01:21:06 - r - INFO: - Episode: 40/1600, Reward: 13.00, Steps:13
2022-10-30 01:21:06 - r - INFO: - Episode: 41/1600, Reward: 32.00, Steps:32
2022-10-30 01:21:06 - r - INFO: - Episode: 42/1600, Reward: 46.00, Steps:46
2022-10-30 01:21:06 - r - INFO: - Episode: 43/1600, Reward: 16.00, Steps:16
2022-10-30 01:21:06 - r - INFO: - Episode: 44/1600, Reward: 11.00, Steps:11
2022-10-30 01:21:06 - r - INFO: - Episode: 45/1600, Reward: 11.00, Steps:11
2022-10-30 01:21:06 - r - INFO: - Episode: 46/1600, Reward: 16.00, Steps:16
2022-10-30 01:21:06 - r - INFO: - Episode: 47/1600, Reward: 30.00, Steps:30
2022-10-30 01:21:06 - r - INFO: - Episode: 48/1600, Reward: 20.00, Steps:20
2022-10-30 01:21:06 - r - INFO: - Episode: 49/1600, Reward: 22.00, Steps:22
2022-10-30 01:21:06 - r - INFO: - Episode: 50/1600, Reward: 11.00, Steps:11
2022-10-30 01:21:06 - r - INFO: - Episode: 51/1600, Reward: 33.00, Steps:33
2022-10-30 01:21:07 - r - INFO: - Episode: 52/1600, Reward: 18.00, Steps:18
2022-10-30 01:21:07 - r - INFO: - Episode: 53/1600, Reward: 19.00, Steps:19
2022-10-30 01:21:07 - r - INFO: - Episode: 54/1600, Reward: 13.00, Steps:13
2022-10-30 01:21:07 - r - INFO: - Episode: 55/1600, Reward: 12.00, Steps:12
2022-10-30 01:21:07 - r - INFO: - Episode: 56/1600, Reward: 27.00, Steps:27
