episodes,rewards,steps
0,12.0,12
1,27.0,27
2,25.0,25
3,12.0,12
4,11.0,11
5,11.0,11
6,20.0,20
7,30.0,30
8,28.0,28
9,36.0,36
10,13.0,13
11,10.0,10
12,23.0,23
13,11.0,11
14,12.0,12
15,13.0,13
16,20.0,20
17,27.0,27
18,11.0,11
19,33.0,33
20,23.0,23
21,21.0,21
22,10.0,10
23,19.0,19
24,13.0,13
25,27.0,27
26,15.0,15
27,12.0,12
28,42.0,42
29,12.0,12
30,20.0,20
31,18.0,18
32,31.0,31
33,21.0,21
34,17.0,17
35,23.0,23
36,13.0,13
37,12.0,12
38,9.0,9
39,13.0,13
40,32.0,32
41,46.0,46
42,16.0,16
43,11.0,11
44,11.0,11
45,16.0,16
46,30.0,30
47,20.0,20
48,22.0,22
49,11.0,11
50,33.0,33
51,18.0,18
52,19.0,19
53,13.0,13
54,12.0,12
55,27.0,27
56,10.0,10
57,12.0,12
58,20.0,20
59,14.0,14
60,42.0,42
61,18.0,18
62,33.0,33
63,12.0,12
64,49.0,49
65,22.0,22
66,31.0,31
67,12.0,12
68,25.0,25
69,14.0,14
70,24.0,24
71,15.0,15
72,26.0,26
73,41.0,41
74,51.0,51
75,60.0,60
76,28.0,28
77,23.0,23
78,29.0,29
79,20.0,20
80,36.0,36
81,29.0,29
82,9.0,9
83,25.0,25
84,24.0,24
85,11.0,11
86,19.0,19
87,13.0,13
88,19.0,19
89,24.0,24
90,19.0,19
91,14.0,14
92,64.0,64
93,26.0,26
94,17.0,17
95,15.0,15
96,21.0,21
97,28.0,28
98,26.0,26
99,21.0,21
100,16.0,16
101,17.0,17
102,34.0,34
103,35.0,35
104,19.0,19
105,13.0,13
106,31.0,31
107,23.0,23
108,30.0,30
109,40.0,40
110,17.0,17
111,18.0,18
112,19.0,19
113,12.0,12
114,37.0,37
115,31.0,31
116,14.0,14
117,31.0,31
118,13.0,13
119,22.0,22
120,14.0,14
121,43.0,43
122,35.0,35
123,30.0,30
124,15.0,15
125,33.0,33
126,25.0,25
127,22.0,22
128,43.0,43
129,12.0,12
130,28.0,28
131,21.0,21
132,51.0,51
133,20.0,20
134,21.0,21
135,62.0,62
136,28.0,28
137,33.0,33
138,43.0,43
139,22.0,22
140,10.0,10
141,22.0,22
142,16.0,16
143,49.0,49
144,55.0,55
145,33.0,33
146,29.0,29
147,28.0,28
148,29.0,29
149,21.0,21
150,60.0,60
151,67.0,67
152,34.0,34
153,27.0,27
154,13.0,13
155,21.0,21
156,18.0,18
157,28.0,28
158,24.0,24
159,9.0,9
160,31.0,31
161,11.0,11
162,13.0,13
163,28.0,28
164,41.0,41
165,19.0,19
166,14.0,14
167,16.0,16
168,42.0,42
169,18.0,18
170,15.0,15
171,13.0,13
172,70.0,70
173,69.0,69
174,10.0,10
175,20.0,20
176,39.0,39
177,22.0,22
178,33.0,33
179,25.0,25
180,29.0,29
181,21.0,21
182,67.0,67
183,36.0,36
184,45.0,45
185,46.0,46
186,44.0,44
187,19.0,19
188,52.0,52
189,15.0,15
190,23.0,23
191,22.0,22
192,17.0,17
193,22.0,22
194,58.0,58
195,25.0,25
196,28.0,28
197,19.0,19
198,28.0,28
199,40.0,40
200,60.0,60
201,18.0,18
202,38.0,38
203,18.0,18
204,13.0,13
205,20.0,20
206,36.0,36
207,26.0,26
208,35.0,35
209,13.0,13
210,16.0,16
211,73.0,73
212,26.0,26
213,22.0,22
214,14.0,14
215,31.0,31
216,18.0,18
217,49.0,49
218,15.0,15
219,23.0,23
220,31.0,31
221,22.0,22
222,52.0,52
223,18.0,18
224,22.0,22
225,12.0,12
226,39.0,39
227,26.0,26
228,21.0,21
229,16.0,16
230,22.0,22
231,18.0,18
232,24.0,24
233,47.0,47
234,15.0,15
235,15.0,15
236,51.0,51
237,17.0,17
238,16.0,16
239,19.0,19
240,25.0,25
241,31.0,31
242,32.0,32
243,17.0,17
244,41.0,41
245,42.0,42
246,17.0,17
247,31.0,31
248,21.0,21
249,51.0,51
250,28.0,28
251,19.0,19
252,35.0,35
253,23.0,23
254,32.0,32
255,97.0,97
256,115.0,115
257,23.0,23
258,17.0,17
259,21.0,21
260,36.0,36
261,32.0,32
262,20.0,20
263,43.0,43
264,63.0,63
265,25.0,25
266,26.0,26
267,12.0,12
268,38.0,38
269,22.0,22
270,68.0,68
271,38.0,38
272,33.0,33
273,23.0,23
274,92.0,92
275,54.0,54
276,48.0,48
277,27.0,27
278,58.0,58
279,48.0,48
280,46.0,46
281,60.0,60
282,24.0,24
283,21.0,21
284,66.0,66
285,55.0,55
286,29.0,29
287,26.0,26
288,19.0,19
289,36.0,36
290,20.0,20
291,12.0,12
292,37.0,37
293,23.0,23
294,27.0,27
295,34.0,34
296,34.0,34
297,19.0,19
298,69.0,69
299,45.0,45
300,49.0,49
301,107.0,107
302,66.0,66
303,31.0,31
304,31.0,31
305,36.0,36
306,37.0,37
307,55.0,55
308,49.0,49
309,35.0,35
310,18.0,18
311,25.0,25
312,31.0,31
313,32.0,32
314,17.0,17
315,46.0,46
316,50.0,50
317,52.0,52
318,15.0,15
319,36.0,36
320,47.0,47
321,82.0,82
322,76.0,76
323,28.0,28
324,44.0,44
325,19.0,19
326,25.0,25
327,17.0,17
328,37.0,37
329,19.0,19
330,57.0,57
331,67.0,67
332,36.0,36
333,50.0,50
334,47.0,47
335,35.0,35
336,14.0,14
337,32.0,32
338,37.0,37
339,71.0,71
340,40.0,40
341,19.0,19
342,37.0,37
343,57.0,57
344,40.0,40
345,30.0,30
346,47.0,47
347,47.0,47
348,71.0,71
349,41.0,41
350,30.0,30
351,41.0,41
352,41.0,41
353,26.0,26
354,25.0,25
355,36.0,36
356,65.0,65
357,104.0,104
358,25.0,25
359,60.0,60
360,22.0,22
361,68.0,68
362,22.0,22
363,61.0,61
364,67.0,67
365,59.0,59
366,71.0,71
367,56.0,56
368,66.0,66
369,64.0,64
370,58.0,58
