episodes,rewards,steps
0,22.0,22
1,17.0,17
2,25.0,25
3,22.0,22
4,24.0,24
5,8.0,8
6,14.0,14
7,29.0,29
8,11.0,11
9,37.0,37
10,11.0,11
11,11.0,11
12,12.0,12
13,14.0,14
14,13.0,13
15,11.0,11
16,12.0,12
17,15.0,15
18,24.0,24
19,10.0,10
20,9.0,9
21,13.0,13
22,10.0,10
23,10.0,10
24,12.0,12
25,12.0,12
26,10.0,10
27,12.0,12
28,11.0,11
29,10.0,10
30,10.0,10
31,11.0,11
32,9.0,9
33,23.0,23
34,12.0,12
35,16.0,16
36,19.0,19
37,13.0,13
38,19.0,19
39,30.0,30
40,35.0,35
41,33.0,33
42,48.0,48
43,126.0,126
44,87.0,87
45,42.0,42
46,38.0,38
47,119.0,119
48,108.0,108
49,79.0,79
50,57.0,57
51,77.0,77
52,84.0,84
53,98.0,98
54,168.0,168
55,114.0,114
56,200.0,200
57,200.0,200
58,183.0,183
59,184.0,184
60,200.0,200
61,200.0,200
62,200.0,200
63,200.0,200
64,200.0,200
65,200.0,200
66,200.0,200
67,200.0,200
68,200.0,200
69,200.0,200
70,200.0,200
71,200.0,200
72,200.0,200
73,200.0,200
74,200.0,200
75,200.0,200
76,200.0,200
77,200.0,200
78,200.0,200
79,200.0,200
80,200.0,200
81,200.0,200
82,200.0,200
83,200.0,200
84,200.0,200
85,200.0,200
86,200.0,200
87,200.0,200
88,200.0,200
89,200.0,200
90,200.0,200
91,200.0,200
92,200.0,200
93,200.0,200
94,200.0,200
95,200.0,200
96,200.0,200
97,200.0,200
98,200.0,200
99,200.0,200
100,200.0,200
101,200.0,200
102,200.0,200
103,200.0,200
104,200.0,200
105,200.0,200
106,200.0,200
107,200.0,200
108,200.0,200
109,200.0,200
110,200.0,200
111,200.0,200
112,200.0,200
113,200.0,200
114,200.0,200
115,200.0,200
116,200.0,200
117,200.0,200
118,200.0,200
119,200.0,200
120,200.0,200
121,200.0,200
122,200.0,200
123,200.0,200
124,200.0,200
125,200.0,200
126,200.0,200
127,200.0,200
128,200.0,200
129,200.0,200
130,200.0,200
131,200.0,200
132,200.0,200
133,200.0,200
134,200.0,200
135,200.0,200
136,200.0,200
137,200.0,200
138,200.0,200
139,200.0,200
140,200.0,200
141,200.0,200
142,200.0,200
143,200.0,200
144,200.0,200
145,200.0,200
146,200.0,200
147,200.0,200
148,200.0,200
149,200.0,200
150,200.0,200
151,200.0,200
152,200.0,200
153,200.0,200
154,200.0,200
155,200.0,200
156,200.0,200
157,200.0,200
158,200.0,200
159,200.0,200
160,200.0,200
161,200.0,200
162,200.0,200
163,200.0,200
164,200.0,200
165,200.0,200
166,200.0,200
167,200.0,200
168,200.0,200
169,200.0,200
170,200.0,200
171,200.0,200
172,200.0,200
173,200.0,200
174,200.0,200
175,200.0,200
176,200.0,200
177,200.0,200
178,200.0,200
179,200.0,200
180,200.0,200
181,200.0,200
182,200.0,200
183,200.0,200
184,200.0,200
185,200.0,200
186,200.0,200
187,200.0,200
188,200.0,200
189,200.0,200
190,200.0,200
191,200.0,200
192,200.0,200
193,200.0,200
194,200.0,200
195,200.0,200
196,200.0,200
197,200.0,200
198,200.0,200
199,200.0,200
