episodes,rewards,steps
0,18.0,18
1,35.0,35
2,13.0,13
3,32.0,32
4,16.0,16
5,9.0,9
6,12.0,12
7,16.0,16
8,14.0,14
9,12.0,12
10,13.0,13
11,14.0,14
12,19.0,19
13,9.0,9
14,15.0,15
15,12.0,12
16,11.0,11
17,9.0,9
18,14.0,14
19,16.0,16
20,19.0,19
21,11.0,11
22,12.0,12
23,10.0,10
24,9.0,9
25,10.0,10
26,12.0,12
27,11.0,11
28,11.0,11
29,11.0,11
30,12.0,12
31,28.0,28
32,28.0,28
33,28.0,28
34,21.0,21
35,23.0,23
36,51.0,51
37,46.0,46
38,32.0,32
39,93.0,93
40,80.0,80
41,68.0,68
42,49.0,49
43,36.0,36
44,64.0,64
45,44.0,44
46,66.0,66
47,58.0,58
48,60.0,60
49,138.0,138
50,122.0,122
51,200.0,200
52,200.0,200
53,86.0,86
54,104.0,104
55,170.0,170
56,200.0,200
57,200.0,200
58,200.0,200
59,200.0,200
60,200.0,200
61,200.0,200
62,200.0,200
63,200.0,200
64,200.0,200
65,200.0,200
66,200.0,200
67,200.0,200
68,200.0,200
69,200.0,200
70,200.0,200
71,200.0,200
72,200.0,200
73,200.0,200
74,200.0,200
75,200.0,200
76,200.0,200
77,200.0,200
78,200.0,200
79,200.0,200
80,200.0,200
81,200.0,200
82,200.0,200
83,200.0,200
84,200.0,200
85,200.0,200
86,200.0,200
87,200.0,200
88,200.0,200
89,200.0,200
90,200.0,200
91,200.0,200
92,200.0,200
93,200.0,200
94,200.0,200
95,200.0,200
96,200.0,200
97,200.0,200
98,200.0,200
99,200.0,200
