episodes,rewards,steps
0,19.0,19
1,15.0,15
2,18.0,18
3,16.0,16
4,27.0,27
5,13.0,13
6,9.0,9
7,15.0,15
8,10.0,10
9,16.0,16
10,12.0,12
11,37.0,37
12,22.0,22
13,11.0,11
14,14.0,14
15,13.0,13
16,13.0,13
17,15.0,15
18,12.0,12
19,15.0,15
20,10.0,10
21,13.0,13
22,31.0,31
23,23.0,23
24,13.0,13
25,9.0,9
26,13.0,13
27,12.0,12
28,16.0,16
29,16.0,16
30,11.0,11
31,15.0,15
32,14.0,14
33,10.0,10
34,14.0,14
35,10.0,10
36,29.0,29
37,17.0,17
38,15.0,15
39,21.0,21
40,28.0,28
41,19.0,19
42,16.0,16
43,27.0,27
44,50.0,50
45,20.0,20
46,78.0,78
47,28.0,28
48,51.0,51
49,38.0,38
50,32.0,32
51,51.0,51
52,67.0,67
53,20.0,20
54,49.0,49
55,37.0,37
56,46.0,46
57,41.0,41
58,27.0,27
59,71.0,71
60,61.0,61
61,37.0,37
62,36.0,36
63,81.0,81
64,39.0,39
65,31.0,31
66,53.0,53
67,51.0,51
68,31.0,31
69,160.0,160
70,39.0,39
71,46.0,46
72,36.0,36
73,70.0,70
74,47.0,47
75,79.0,79
76,53.0,53
77,130.0,130
78,200.0,200
79,200.0,200
80,110.0,110
81,200.0,200
82,200.0,200
83,200.0,200
84,200.0,200
85,200.0,200
86,200.0,200
87,200.0,200
88,200.0,200
89,200.0,200
90,200.0,200
91,200.0,200
92,200.0,200
93,200.0,200
94,200.0,200
95,200.0,200
96,200.0,200
97,200.0,200
98,200.0,200
99,200.0,200
