episodes,rewards,steps
0,18.0,18
1,35.0,35
2,13.0,13
3,20.0,20
4,24.0,24
5,11.0,11
6,14.0,14
7,16.0,16
8,9.0,9
9,23.0,23
10,15.0,15
11,15.0,15
12,11.0,11
13,14.0,14
14,14.0,14
15,11.0,11
16,12.0,12
17,22.0,22
18,14.0,14
19,15.0,15
20,15.0,15
21,22.0,22
22,9.0,9
23,16.0,16
24,11.0,11
25,14.0,14
26,12.0,12
27,15.0,15
28,9.0,9
29,24.0,24
30,12.0,12
31,12.0,12
32,11.0,11
33,11.0,11
34,18.0,18
35,11.0,11
36,11.0,11
37,8.0,8
38,12.0,12
39,10.0,10
40,11.0,11
41,11.0,11
42,14.0,14
43,10.0,10
44,11.0,11
45,9.0,9
46,13.0,13
47,10.0,10
48,8.0,8
49,8.0,8
50,12.0,12
51,10.0,10
52,9.0,9
53,12.0,12
54,10.0,10
55,9.0,9
56,9.0,9
57,9.0,9
58,11.0,11
59,13.0,13
60,8.0,8
61,10.0,10
62,9.0,9
63,9.0,9
64,10.0,10
65,12.0,12
66,9.0,9
67,8.0,8
68,9.0,9
69,10.0,10
70,10.0,10
71,10.0,10
72,8.0,8
73,10.0,10
74,8.0,8
75,11.0,11
76,14.0,14
77,13.0,13
78,19.0,19
79,26.0,26
80,29.0,29
81,42.0,42
82,50.0,50
83,43.0,43
84,30.0,30
85,41.0,41
86,38.0,38
87,32.0,32
88,34.0,34
89,32.0,32
90,42.0,42
91,26.0,26
92,37.0,37
93,40.0,40
94,63.0,63
95,59.0,59
96,51.0,51
97,40.0,40
98,79.0,79
99,69.0,69
100,110.0,110
101,67.0,67
102,75.0,75
103,113.0,113
104,187.0,187
105,191.0,191
106,200.0,200
107,200.0,200
108,200.0,200
109,200.0,200
110,200.0,200
111,200.0,200
112,200.0,200
113,200.0,200
114,200.0,200
115,200.0,200
116,200.0,200
117,200.0,200
118,200.0,200
119,200.0,200
120,200.0,200
121,200.0,200
122,200.0,200
123,200.0,200
124,200.0,200
125,200.0,200
126,200.0,200
127,200.0,200
128,200.0,200
129,200.0,200
130,200.0,200
131,200.0,200
132,200.0,200
133,200.0,200
134,200.0,200
135,200.0,200
136,200.0,200
137,200.0,200
138,200.0,200
139,200.0,200
140,200.0,200
141,200.0,200
142,200.0,200
143,200.0,200
144,200.0,200
145,200.0,200
146,200.0,200
147,200.0,200
148,200.0,200
149,200.0,200
150,200.0,200
151,200.0,200
152,200.0,200
153,200.0,200
154,200.0,200
155,200.0,200
156,200.0,200
157,200.0,200
158,200.0,200
159,200.0,200
160,200.0,200
161,200.0,200
162,200.0,200
163,200.0,200
164,200.0,200
165,200.0,200
166,200.0,200
167,200.0,200
168,200.0,200
169,200.0,200
170,200.0,200
171,200.0,200
172,200.0,200
173,200.0,200
174,200.0,200
175,200.0,200
176,200.0,200
177,200.0,200
178,200.0,200
179,200.0,200
180,200.0,200
181,200.0,200
182,200.0,200
183,200.0,200
184,200.0,200
185,200.0,200
186,200.0,200
187,200.0,200
188,200.0,200
189,200.0,200
190,200.0,200
191,200.0,200
192,200.0,200
193,200.0,200
194,200.0,200
195,200.0,200
196,200.0,200
197,200.0,200
198,200.0,200
199,200.0,200
