episodes,rewards,steps
0,25.0,25
1,11.0,11
2,32.0,32
3,10.0,10
4,12.0,12
5,25.0,25
6,16.0,16
7,19.0,19
8,14.0,14
9,11.0,11
10,13.0,13
11,20.0,20
12,11.0,11
13,15.0,15
14,9.0,9
15,11.0,11
16,9.0,9
17,9.0,9
18,11.0,11
19,10.0,10
20,10.0,10
21,11.0,11
22,20.0,20
23,16.0,16
24,20.0,20
25,11.0,11
26,20.0,20
27,14.0,14
28,34.0,34
29,26.0,26
30,37.0,37
31,25.0,25
32,34.0,34
33,16.0,16
34,15.0,15
35,53.0,53
36,23.0,23
37,24.0,24
38,29.0,29
39,38.0,38
40,64.0,64
41,77.0,77
42,37.0,37
43,64.0,64
44,69.0,69
45,81.0,81
46,31.0,31
47,135.0,135
48,92.0,92
49,62.0,62
50,63.0,63
51,63.0,63
52,135.0,135
53,114.0,114
54,62.0,62
55,200.0,200
56,173.0,173
57,112.0,112
58,178.0,178
59,76.0,76
60,51.0,51
61,200.0,200
62,127.0,127
63,200.0,200
64,133.0,133
65,200.0,200
66,146.0,146
67,123.0,123
68,25.0,25
69,94.0,94
70,200.0,200
71,153.0,153
72,153.0,153
73,178.0,178
74,178.0,178
75,200.0,200
76,200.0,200
77,200.0,200
78,116.0,116
79,130.0,130
80,124.0,124
81,200.0,200
82,200.0,200
83,196.0,196
84,200.0,200
85,200.0,200
86,200.0,200
87,200.0,200
88,200.0,200
89,200.0,200
90,200.0,200
91,200.0,200
92,200.0,200
93,200.0,200
94,200.0,200
95,200.0,200
96,200.0,200
97,200.0,200
98,200.0,200
99,200.0,200
