episodes,rewards,steps
0,10.0,22
1,10.0,14
2,10.0,14
3,10.0,14
4,10.0,21
5,10.0,16
6,-5.0,10
7,10.0,16
8,10.0,16
9,10.0,14
10,10.0,18
11,10.0,16
12,10.0,12
13,10.0,12
14,10.0,17
15,10.0,14
16,10.0,14
17,10.0,13
18,10.0,15
19,10.0,13
20,10.0,20
21,10.0,13
22,10.0,13
23,10.0,15
24,10.0,12
25,10.0,12
26,10.0,17
27,-5.0,13
28,10.0,13
29,-5.0,11
30,10.0,14
31,10.0,12
32,10.0,18
33,10.0,13
34,10.0,15
35,-5.0,12
36,10.0,14
37,10.0,16
38,10.0,16
39,10.0,13
40,10.0,14
41,10.0,13
42,10.0,13
43,10.0,14
44,10.0,17
45,10.0,13
46,10.0,12
47,10.0,12
48,10.0,19
49,10.0,12
50,10.0,20
51,-5.0,10
52,10.0,14
53,10.0,18
54,10.0,13
55,10.0,15
56,10.0,13
57,10.0,16
58,10.0,16
59,10.0,16
60,10.0,12
61,10.0,18
62,10.0,12
63,10.0,13
64,10.0,13
65,10.0,18
66,10.0,12
67,10.0,12
68,10.0,17
69,10.0,26
70,-5.0,11
71,10.0,13
72,10.0,17
73,10.0,16
74,-5.0,10
75,10.0,12
76,-5.0,11
77,10.0,17
78,10.0,12
79,10.0,12
80,10.0,14
81,10.0,16
82,-5.0,11
83,10.0,15
84,10.0,12
85,10.0,13
86,10.0,12
87,10.0,12
88,10.0,12
89,10.0,16
90,10.0,16
91,10.0,13
92,10.0,13
93,10.0,22
94,10.0,19
95,10.0,15
96,10.0,12
97,10.0,14
98,10.0,12
99,10.0,12
