2022-11-16 06:50:34 - r - INFO: - n_states: 4, n_actions: 2
2022-11-16 06:50:37 - r - INFO: - Start training!
2022-11-16 06:50:37 - r - INFO: - Env: CartPole-v1, Algorithm: DQN, Device: cuda
2022-11-16 06:50:37 - r - INFO: - Episode: 1/200, Reward: 10.000, Step: 10
2022-11-16 06:50:37 - r - INFO: - Episode: 2/200, Reward: 9.000, Step: 9
2022-11-16 06:50:37 - r - INFO: - Episode: 3/200, Reward: 9.000, Step: 9
2022-11-16 06:50:37 - r - INFO: - Episode: 4/200, Reward: 10.000, Step: 10
2022-11-16 06:50:37 - r - INFO: - Episode: 5/200, Reward: 10.000, Step: 10
2022-11-16 06:50:37 - r - INFO: - Current episode 5 has the best eval reward: 9.100
2022-11-16 06:50:37 - r - INFO: - Episode: 6/200, Reward: 9.000, Step: 9
2022-11-16 06:50:37 - r - INFO: - Episode: 7/200, Reward: 10.000, Step: 10
2022-11-16 06:50:38 - r - INFO: - Episode: 8/200, Reward: 12.000, Step: 12
2022-11-16 06:50:38 - r - INFO: - Episode: 9/200, Reward: 14.000, Step: 14
2022-11-16 06:50:38 - r - INFO: - Episode: 10/200, Reward: 14.000, Step: 14
2022-11-16 06:50:38 - r - INFO: - Current episode 10 has the best eval reward: 9.200
2022-11-16 06:50:38 - r - INFO: - Episode: 11/200, Reward: 9.000, Step: 9
2022-11-16 06:50:39 - r - INFO: - Episode: 12/200, Reward: 10.000, Step: 10
2022-11-16 06:50:39 - r - INFO: - Episode: 13/200, Reward: 10.000, Step: 10
2022-11-16 06:50:39 - r - INFO: - Episode: 14/200, Reward: 9.000, Step: 9
2022-11-16 06:50:39 - r - INFO: - Episode: 15/200, Reward: 9.000, Step: 9
2022-11-16 06:50:39 - r - INFO: - Current episode 15 has the best eval reward: 9.300
2022-11-16 06:50:40 - r - INFO: - Episode: 16/200, Reward: 10.000, Step: 10
2022-11-16 06:50:40 - r - INFO: - Episode: 17/200, Reward: 8.000, Step: 8
2022-11-16 06:50:40 - r - INFO: - Episode: 18/200, Reward: 9.000, Step: 9
2022-11-16 06:50:40 - r - INFO: - Episode: 19/200, Reward: 11.000, Step: 11
2022-11-16 06:50:40 - r - INFO: - Episode: 20/200, Reward: 10.000, Step: 10
2022-11-16 06:50:41 - r - INFO: - Episode: 21/200, Reward: 10.000, Step: 10
2022-11-16 06:50:41 - r - INFO: - Episode: 22/200, Reward: 10.000, Step: 10
2022-11-16 06:50:41 - r - INFO: - Episode: 23/200, Reward: 9.000, Step: 9
2022-11-16 06:50:41 - r - INFO: - Episode: 24/200, Reward: 10.000, Step: 10
2022-11-16 06:50:41 - r - INFO: - Episode: 25/200, Reward: 10.000, Step: 10
2022-11-16 06:50:42 - r - INFO: - Current episode 25 has the best eval reward: 9.800
2022-11-16 06:50:42 - r - INFO: - Episode: 26/200, Reward: 9.000, Step: 9
2022-11-16 06:50:42 - r - INFO: - Episode: 27/200, Reward: 8.000, Step: 8
2022-11-16 06:50:42 - r - INFO: - Episode: 28/200, Reward: 10.000, Step: 10
2022-11-16 06:50:42 - r - INFO: - Episode: 29/200, Reward: 9.000, Step: 9
2022-11-16 06:50:42 - r - INFO: - Episode: 30/200, Reward: 11.000, Step: 11
2022-11-16 06:50:43 - r - INFO: - Episode: 31/200, Reward: 8.000, Step: 8
2022-11-16 06:50:43 - r - INFO: - Episode: 32/200, Reward: 10.000, Step: 10
2022-11-16 06:50:43 - r - INFO: - Episode: 33/200, Reward: 10.000, Step: 10
2022-11-16 06:50:43 - r - INFO: - Episode: 34/200, Reward: 9.000, Step: 9
2022-11-16 06:50:43 - r - INFO: - Episode: 35/200, Reward: 9.000, Step: 9
2022-11-16 06:50:44 - r - INFO: - Episode: 36/200, Reward: 10.000, Step: 10
2022-11-16 06:50:44 - r - INFO: - Episode: 37/200, Reward: 10.000, Step: 10
2022-11-16 06:50:44 - r - INFO: - Episode: 38/200, Reward: 10.000, Step: 10
2022-11-16 06:50:44 - r - INFO: - Episode: 39/200, Reward: 9.000, Step: 9
2022-11-16 06:50:45 - r - INFO: - Episode: 40/200, Reward: 10.000, Step: 10
2022-11-16 06:50:45 - r - INFO: - Episode: 41/200, Reward: 10.000, Step: 10
2022-11-16 06:50:45 - r - INFO: - Episode: 42/200, Reward: 11.000, Step: 11
