episodes,rewards,steps
0,10.0,10
1,9.0,9
2,9.0,9
3,10.0,10
4,10.0,10
5,9.0,9
6,10.0,10
7,12.0,12
8,14.0,14
9,14.0,14
10,9.0,9
11,10.0,10
12,10.0,10
13,9.0,9
14,9.0,9
15,10.0,10
16,8.0,8
17,9.0,9
18,11.0,11
19,10.0,10
20,10.0,10
21,10.0,10
22,9.0,9
23,10.0,10
24,10.0,10
25,9.0,9
26,8.0,8
27,10.0,10
28,9.0,9
29,11.0,11
30,8.0,8
31,10.0,10
32,10.0,10
33,9.0,9
34,9.0,9
35,10.0,10
36,10.0,10
37,10.0,10
38,9.0,9
39,10.0,10
40,10.0,10
41,11.0,11
42,10.0,10
43,9.0,9
44,9.0,9
45,9.0,9
46,9.0,9
47,8.0,8
48,10.0,10
49,10.0,10
50,9.0,9
51,10.0,10
52,9.0,9
53,8.0,8
54,10.0,10
55,8.0,8
56,10.0,10
57,10.0,10
58,10.0,10
59,9.0,9
60,9.0,9
61,11.0,11
62,10.0,10
63,10.0,10
64,9.0,9
65,10.0,10
66,10.0,10
67,9.0,9
68,8.0,8
69,8.0,8
70,9.0,9
71,8.0,8
72,9.0,9
73,10.0,10
74,10.0,10
75,10.0,10
76,8.0,8
77,10.0,10
78,10.0,10
79,9.0,9
80,9.0,9
81,10.0,10
82,8.0,8
83,9.0,9
84,9.0,9
85,11.0,11
86,10.0,10
87,9.0,9
88,10.0,10
89,9.0,9
90,9.0,9
91,10.0,10
92,10.0,10
93,9.0,9
94,8.0,8
95,9.0,9
96,9.0,9
97,11.0,11
98,10.0,10
99,11.0,11
100,11.0,11
101,9.0,9
102,9.0,9
103,10.0,10
104,11.0,11
105,10.0,10
106,10.0,10
107,12.0,12
108,11.0,11
109,12.0,12
110,16.0,16
111,14.0,14
112,12.0,12
113,10.0,10
114,12.0,12
115,15.0,15
116,9.0,9
117,9.0,9
118,10.0,10
119,20.0,20
120,15.0,15
121,11.0,11
122,14.0,14
123,11.0,11
124,8.0,8
125,13.0,13
126,9.0,9
127,9.0,9
128,13.0,13
129,14.0,14
130,19.0,19
131,15.0,15
132,14.0,14
133,11.0,11
134,24.0,24
135,12.0,12
136,20.0,20
137,37.0,37
138,34.0,34
139,22.0,22
140,29.0,29
141,65.0,65
142,117.0,117
143,59.0,59
144,23.0,23
145,45.0,45
146,43.0,43
147,26.0,26
148,27.0,27
149,31.0,31
150,47.0,47
151,48.0,48
152,56.0,56
153,31.0,31
154,70.0,70
155,121.0,121
156,91.0,91
157,102.0,102
158,110.0,110
159,127.0,127
160,134.0,134
161,113.0,113
162,178.0,178
163,158.0,158
164,187.0,187
165,158.0,158
166,165.0,165
167,186.0,186
168,169.0,169
169,191.0,191
170,194.0,194
171,182.0,182
172,200.0,200
173,189.0,189
174,200.0,200
175,196.0,196
176,191.0,191
177,200.0,200
178,191.0,191
179,200.0,200
180,200.0,200
181,200.0,200
182,200.0,200
183,200.0,200
184,200.0,200
185,200.0,200
186,200.0,200
187,200.0,200
188,200.0,200
189,200.0,200
190,200.0,200
191,200.0,200
192,200.0,200
193,200.0,200
194,200.0,200
195,200.0,200
196,200.0,200
197,200.0,200
198,200.0,200
199,186.0,186
