episodes,rewards,steps
0,18.0,18
1,35.0,35
2,13.0,13
3,32.0,32
4,16.0,16
5,9.0,9
6,12.0,12
7,16.0,16
8,14.0,14
9,12.0,12
10,13.0,13
11,14.0,14
12,19.0,19
13,9.0,9
14,15.0,15
15,12.0,12
16,11.0,11
17,9.0,9
18,13.0,13
19,17.0,17
20,13.0,13
21,15.0,15
22,22.0,22
23,26.0,26
24,9.0,9
25,15.0,15
26,11.0,11
27,13.0,13
28,14.0,14
29,10.0,10
30,11.0,11
31,15.0,15
32,10.0,10
33,16.0,16
34,10.0,10
35,10.0,10
36,10.0,10
37,9.0,9
38,10.0,10
39,8.0,8
40,11.0,11
41,10.0,10
42,9.0,9
43,11.0,11
44,14.0,14
45,12.0,12
46,16.0,16
47,10.0,10
48,11.0,11
49,8.0,8
50,23.0,23
51,31.0,31
52,17.0,17
53,23.0,23
54,22.0,22
55,14.0,14
56,19.0,19
57,29.0,29
58,26.0,26
59,23.0,23
60,20.0,20
61,34.0,34
62,27.0,27
63,36.0,36
64,47.0,47
65,44.0,44
66,65.0,65
67,65.0,65
68,42.0,42
69,46.0,46
70,84.0,84
71,83.0,83
72,49.0,49
73,111.0,111
74,150.0,150
75,141.0,141
76,83.0,83
77,74.0,74
78,178.0,178
79,200.0,200
80,200.0,200
81,200.0,200
82,153.0,153
83,193.0,193
84,200.0,200
85,151.0,151
86,200.0,200
87,200.0,200
88,189.0,189
89,200.0,200
90,200.0,200
91,200.0,200
92,200.0,200
93,200.0,200
94,200.0,200
95,200.0,200
96,200.0,200
97,200.0,200
98,200.0,200
99,200.0,200
