episodes,rewards,steps
0,28.0,28
1,47.0,47
2,35.0,35
3,16.0,16
4,11.0,11
5,13.0,13
6,11.0,11
7,33.0,33
8,19.0,19
9,20.0,20
10,24.0,24
11,22.0,22
12,10.0,10
13,16.0,16
14,11.0,11
15,17.0,17
16,16.0,16
17,9.0,9
18,15.0,15
19,10.0,10
20,10.0,10
21,11.0,11
22,15.0,15
23,12.0,12
24,11.0,11
25,10.0,10
26,17.0,17
27,10.0,10
28,8.0,8
29,11.0,11
30,12.0,12
31,10.0,10
32,13.0,13
33,15.0,15
34,12.0,12
35,10.0,10
36,19.0,19
37,10.0,10
38,14.0,14
39,11.0,11
40,10.0,10
41,13.0,13
42,12.0,12
43,19.0,19
44,17.0,17
45,17.0,17
46,14.0,14
47,20.0,20
48,20.0,20
49,32.0,32
50,54.0,54
51,25.0,25
52,42.0,42
53,24.0,24
54,60.0,60
55,47.0,47
56,59.0,59
57,47.0,47
58,55.0,55
59,62.0,62
60,44.0,44
61,63.0,63
62,60.0,60
63,108.0,108
64,49.0,49
65,53.0,53
66,121.0,121
67,61.0,61
68,55.0,55
69,64.0,64
70,79.0,79
71,96.0,96
72,96.0,96
73,59.0,59
74,82.0,82
75,87.0,87
76,93.0,93
77,130.0,130
78,103.0,103
79,120.0,120
80,149.0,149
81,133.0,133
82,190.0,190
83,200.0,200
84,187.0,187
85,200.0,200
86,200.0,200
87,151.0,151
88,150.0,150
89,177.0,177
90,167.0,167
91,200.0,200
92,178.0,178
93,194.0,194
94,200.0,200
95,200.0,200
96,200.0,200
97,200.0,200
98,200.0,200
99,200.0,200
