episodes,rewards,steps
0,16.0,16
1,15.0,15
2,27.0,27
3,10.0,10
4,13.0,13
5,14.0,14
6,15.0,15
7,12.0,12
8,18.0,18
9,71.0,71
10,8.0,8
11,21.0,21
12,21.0,21
13,16.0,16
14,17.0,17
15,13.0,13
16,14.0,14
17,13.0,13
18,16.0,16
19,10.0,10
20,19.0,19
21,9.0,9
22,8.0,8
23,11.0,11
24,13.0,13
25,11.0,11
26,15.0,15
27,12.0,12
28,11.0,11
29,10.0,10
30,13.0,13
31,13.0,13
32,13.0,13
33,12.0,12
34,9.0,9
35,10.0,10
36,11.0,11
37,11.0,11
38,10.0,10
39,14.0,14
40,12.0,12
41,14.0,14
42,10.0,10
43,13.0,13
44,19.0,19
45,11.0,11
46,13.0,13
47,12.0,12
48,12.0,12
49,12.0,12
50,9.0,9
51,12.0,12
52,11.0,11
53,13.0,13
54,15.0,15
55,20.0,20
56,15.0,15
57,11.0,11
58,15.0,15
59,18.0,18
60,21.0,21
61,30.0,30
62,32.0,32
63,39.0,39
64,200.0,200
65,23.0,23
66,25.0,25
67,28.0,28
68,19.0,19
69,12.0,12
70,12.0,12
71,18.0,18
72,18.0,18
73,13.0,13
74,15.0,15
75,12.0,12
76,13.0,13
77,12.0,12
78,16.0,16
79,14.0,14
80,14.0,14
81,21.0,21
82,70.0,70
83,111.0,111
84,127.0,127
85,200.0,200
86,200.0,200
87,177.0,177
88,137.0,137
89,200.0,200
90,133.0,133
91,200.0,200
92,158.0,158
93,200.0,200
94,200.0,200
95,200.0,200
96,200.0,200
97,200.0,200
98,200.0,200
99,200.0,200
