episodes,rewards,steps
0,13.0,13
1,30.0,30
2,15.0,15
3,10.0,10
4,38.0,38
5,49.0,49
6,17.0,17
7,16.0,16
8,19.0,19
9,14.0,14
10,18.0,18
11,14.0,14
12,11.0,11
13,19.0,19
14,13.0,13
15,25.0,25
16,21.0,21
17,19.0,19
18,17.0,17
19,34.0,34
20,10.0,10
21,10.0,10
22,19.0,19
23,12.0,12
24,19.0,19
25,11.0,11
26,10.0,10
27,13.0,13
28,12.0,12
29,10.0,10
30,10.0,10
31,10.0,10
32,10.0,10
33,12.0,12
34,12.0,12
35,10.0,10
36,10.0,10
37,17.0,17
38,10.0,10
39,10.0,10
40,12.0,12
41,10.0,10
42,10.0,10
43,13.0,13
44,15.0,15
45,10.0,10
46,10.0,10
47,10.0,10
48,10.0,10
49,16.0,16
50,12.0,12
51,10.0,10
52,10.0,10
53,12.0,12
54,10.0,10
55,10.0,10
56,10.0,10
57,10.0,10
58,10.0,10
59,10.0,10
60,10.0,10
61,10.0,10
62,10.0,10
63,10.0,10
64,10.0,10
65,12.0,12
66,10.0,10
67,10.0,10
68,10.0,10
69,10.0,10
70,10.0,10
71,10.0,10
72,10.0,10
73,10.0,10
74,10.0,10
75,10.0,10
76,10.0,10
77,10.0,10
78,10.0,10
79,10.0,10
80,10.0,10
81,10.0,10
82,12.0,12
83,10.0,10
84,10.0,10
85,10.0,10
86,10.0,10
87,10.0,10
88,10.0,10
89,10.0,10
90,10.0,10
91,10.0,10
92,10.0,10
93,10.0,10
94,10.0,10
95,10.0,10
96,10.0,10
97,10.0,10
98,10.0,10
99,10.0,10
100,10.0,10
101,10.0,10
102,10.0,10
103,10.0,10
104,10.0,10
105,10.0,10
106,12.0,12
107,10.0,10
108,10.0,10
109,10.0,10
110,10.0,10
111,10.0,10
112,10.0,10
113,10.0,10
114,10.0,10
115,10.0,10
116,10.0,10
117,10.0,10
118,10.0,10
119,10.0,10
120,10.0,10
121,10.0,10
122,10.0,10
123,10.0,10
124,10.0,10
125,10.0,10
126,10.0,10
127,10.0,10
128,10.0,10
129,10.0,10
130,10.0,10
131,10.0,10
132,10.0,10
133,10.0,10
134,10.0,10
135,10.0,10
136,10.0,10
137,10.0,10
138,10.0,10
139,10.0,10
140,10.0,10
141,10.0,10
142,10.0,10
143,10.0,10
144,10.0,10
145,10.0,10
146,10.0,10
147,10.0,10
148,10.0,10
149,10.0,10
150,10.0,10
151,10.0,10
152,10.0,10
153,10.0,10
154,10.0,10
155,10.0,10
156,10.0,10
157,10.0,10
158,10.0,10
159,10.0,10
160,10.0,10
161,10.0,10
162,12.0,12
163,10.0,10
164,10.0,10
165,10.0,10
166,10.0,10
167,10.0,10
168,10.0,10
169,10.0,10
170,10.0,10
171,10.0,10
172,10.0,10
173,10.0,10
174,10.0,10
175,10.0,10
176,10.0,10
177,10.0,10
178,10.0,10
179,10.0,10
180,10.0,10
181,10.0,10
182,10.0,10
183,10.0,10
184,10.0,10
185,10.0,10
186,10.0,10
187,10.0,10
188,10.0,10
189,10.0,10
190,10.0,10
191,10.0,10
192,10.0,10
193,10.0,10
194,10.0,10
195,10.0,10
196,10.0,10
197,10.0,10
198,10.0,10
199,10.0,10
