2022-12-07 15:54:45 - r - INFO: - Hyperparameters:
2022-12-07 15:54:45 - r - INFO: - ================================================================================
2022-12-07 15:54:45 - r - INFO: -         Name        	       Value        	        Type        
2022-12-07 15:54:45 - r - INFO: -       env_name      	    CartPole-v1     	   <class 'str'>    
2022-12-07 15:54:45 - r - INFO: -     new_step_api    	         1          	   <class 'bool'>   
2022-12-07 15:54:45 - r - INFO: -       wrapper       	        None        	   <class 'str'>    
2022-12-07 15:54:45 - r - INFO: -        render       	         0          	   <class 'bool'>   
2022-12-07 15:54:45 - r - INFO: -      algo_name      	       PPO-KL       	   <class 'str'>    
2022-12-07 15:54:45 - r - INFO: -         mode        	       train        	   <class 'str'>    
2022-12-07 15:54:45 - r - INFO: -         seed        	         1          	   <class 'int'>    
2022-12-07 15:54:45 - r - INFO: -        device       	        cpu         	   <class 'str'>    
2022-12-07 15:54:45 - r - INFO: -      train_eps      	        200         	   <class 'int'>    
2022-12-07 15:54:45 - r - INFO: -       test_eps      	         10         	   <class 'int'>    
2022-12-07 15:54:45 - r - INFO: -       eval_eps      	         10         	   <class 'int'>    
2022-12-07 15:54:45 - r - INFO: -   eval_per_episode  	         5          	   <class 'int'>    
2022-12-07 15:54:45 - r - INFO: -      max_steps      	        200         	   <class 'int'>    
2022-12-07 15:54:45 - r - INFO: -   load_checkpoint   	         0          	   <class 'bool'>   
2022-12-07 15:54:45 - r - INFO: -      load_path      	Train_CartPole-v1_PPO-KL_20221206-054757	   <class 'str'>    
2022-12-07 15:54:45 - r - INFO: -       show_fig      	         0          	   <class 'bool'>   
2022-12-07 15:54:45 - r - INFO: -       save_fig      	         1          	   <class 'bool'>   
2022-12-07 15:54:45 - r - INFO: -        gamma        	        0.99        	  <class 'float'>   
2022-12-07 15:54:45 - r - INFO: -       k_epochs      	         4          	   <class 'int'>    
2022-12-07 15:54:45 - r - INFO: -       actor_lr      	       0.0003       	  <class 'float'>   
2022-12-07 15:54:45 - r - INFO: -      critic_lr      	       0.0003       	  <class 'float'>   
2022-12-07 15:54:45 - r - INFO: -      KL_target      	        0.01        	  <class 'float'>   
2022-12-07 15:54:45 - r - INFO: -      KL_lambda      	        0.5         	  <class 'float'>   
2022-12-07 15:54:45 - r - INFO: -     KL_beta_high    	        1.5         	  <class 'float'>   
2022-12-07 15:54:45 - r - INFO: -     KL_beta_low     	 0.6666666666666666 	  <class 'float'>   
2022-12-07 15:54:45 - r - INFO: -       KL_alpha      	         2          	   <class 'int'>    
2022-12-07 15:54:45 - r - INFO: -     entropy_coef    	        0.01        	  <class 'float'>   
2022-12-07 15:54:45 - r - INFO: -     update_freq     	        100         	   <class 'int'>    
2022-12-07 15:54:45 - r - INFO: -   actor_hidden_dim  	        256         	   <class 'int'>    
2022-12-07 15:54:45 - r - INFO: -  critic_hidden_dim  	        256         	   <class 'int'>    
2022-12-07 15:54:45 - r - INFO: - ================================================================================
2022-12-07 15:54:46 - r - INFO: - n_states: 4, n_actions: 2
2022-12-07 15:54:46 - r - INFO: - Start training!
2022-12-07 15:54:46 - r - INFO: - Env: CartPole-v1, Algorithm: PPO-KL, Device: cpu
2022-12-07 15:54:46 - r - INFO: - Episode: 1/200, Reward: 13.000, Step: 13
2022-12-07 15:54:46 - r - INFO: - Episode: 2/200, Reward: 30.000, Step: 30
2022-12-07 15:54:46 - r - INFO: - Episode: 3/200, Reward: 15.000, Step: 15
2022-12-07 15:54:46 - r - INFO: - Episode: 4/200, Reward: 10.000, Step: 10
2022-12-07 15:54:47 - r - INFO: - Episode: 5/200, Reward: 38.000, Step: 38
2022-12-07 15:54:47 - r - INFO: - Current episode 5 has the best eval reward: 17.900
2022-12-07 15:54:47 - r - INFO: - Episode: 6/200, Reward: 49.000, Step: 49
2022-12-07 15:54:47 - r - INFO: - Episode: 7/200, Reward: 17.000, Step: 17
2022-12-07 15:54:47 - r - INFO: - Episode: 8/200, Reward: 16.000, Step: 16
2022-12-07 15:54:47 - r - INFO: - Episode: 9/200, Reward: 19.000, Step: 19
2022-12-07 15:54:47 - r - INFO: - Episode: 10/200, Reward: 14.000, Step: 14
2022-12-07 15:54:47 - r - INFO: - Episode: 11/200, Reward: 18.000, Step: 18
2022-12-07 15:54:47 - r - INFO: - Episode: 12/200, Reward: 14.000, Step: 14
2022-12-07 15:54:47 - r - INFO: - Episode: 13/200, Reward: 11.000, Step: 11
2022-12-07 15:54:47 - r - INFO: - Episode: 14/200, Reward: 19.000, Step: 19
2022-12-07 15:54:47 - r - INFO: - Episode: 15/200, Reward: 13.000, Step: 13
2022-12-07 15:54:47 - r - INFO: - Episode: 16/200, Reward: 25.000, Step: 25
2022-12-07 15:54:47 - r - INFO: - Episode: 17/200, Reward: 21.000, Step: 21
2022-12-07 15:54:47 - r - INFO: - Episode: 18/200, Reward: 19.000, Step: 19
2022-12-07 15:54:47 - r - INFO: - Episode: 19/200, Reward: 17.000, Step: 17
2022-12-07 15:54:47 - r - INFO: - Episode: 20/200, Reward: 34.000, Step: 34
2022-12-07 15:54:47 - r - INFO: - Episode: 21/200, Reward: 10.000, Step: 10
2022-12-07 15:54:47 - r - INFO: - Episode: 22/200, Reward: 10.000, Step: 10
2022-12-07 15:54:47 - r - INFO: - Episode: 23/200, Reward: 19.000, Step: 19
2022-12-07 15:54:47 - r - INFO: - Episode: 24/200, Reward: 12.000, Step: 12
2022-12-07 15:54:47 - r - INFO: - Episode: 25/200, Reward: 19.000, Step: 19
2022-12-07 15:54:47 - r - INFO: - Episode: 26/200, Reward: 11.000, Step: 11
2022-12-07 15:54:47 - r - INFO: - Episode: 27/200, Reward: 10.000, Step: 10
2022-12-07 15:54:47 - r - INFO: - Episode: 28/200, Reward: 13.000, Step: 13
2022-12-07 15:54:47 - r - INFO: - Episode: 29/200, Reward: 12.000, Step: 12
2022-12-07 15:54:47 - r - INFO: - Episode: 30/200, Reward: 10.000, Step: 10
2022-12-07 15:54:47 - r - INFO: - Episode: 31/200, Reward: 10.000, Step: 10
2022-12-07 15:54:47 - r - INFO: - Episode: 32/200, Reward: 10.000, Step: 10
2022-12-07 15:54:47 - r - INFO: - Episode: 33/200, Reward: 10.000, Step: 10
2022-12-07 15:54:47 - r - INFO: - Episode: 34/200, Reward: 12.000, Step: 12
