episodes,rewards,steps
0,25.0,25
1,15.0,15
2,13.0,13
3,14.0,14
4,25.0,25
5,41.0,41
6,25.0,25
7,12.0,12
8,37.0,37
9,26.0,26
10,12.0,12
11,23.0,23
12,27.0,27
13,62.0,62
14,13.0,13
15,45.0,45
16,35.0,35
17,28.0,28
18,42.0,42
19,18.0,18
20,27.0,27
21,48.0,48
22,25.0,25
23,39.0,39
24,23.0,23
25,59.0,59
26,44.0,44
27,53.0,53
28,32.0,32
29,44.0,44
30,122.0,122
31,14.0,14
32,25.0,25
33,38.0,38
34,49.0,49
35,23.0,23
36,68.0,68
37,55.0,55
38,39.0,39
39,45.0,45
40,33.0,33
41,29.0,29
42,43.0,43
43,39.0,39
44,29.0,29
45,39.0,39
46,25.0,25
47,42.0,42
48,42.0,42
49,29.0,29
50,34.0,34
51,27.0,27
52,41.0,41
53,31.0,31
54,51.0,51
55,50.0,50
56,56.0,56
57,31.0,31
58,52.0,52
59,87.0,87
60,39.0,39
61,113.0,113
62,117.0,117
63,25.0,25
64,79.0,79
65,53.0,53
66,124.0,124
67,106.0,106
68,106.0,106
69,142.0,142
70,57.0,57
71,90.0,90
72,46.0,46
73,42.0,42
74,45.0,45
75,33.0,33
76,60.0,60
77,32.0,32
78,39.0,39
79,39.0,39
80,52.0,52
81,103.0,103
82,200.0,200
83,200.0,200
84,63.0,63
85,82.0,82
86,97.0,97
87,151.0,151
88,200.0,200
89,102.0,102
90,102.0,102
91,136.0,136
92,181.0,181
93,176.0,176
94,200.0,200
95,91.0,91
96,63.0,63
97,102.0,102
98,92.0,92
99,112.0,112
100,116.0,116
101,200.0,200
102,172.0,172
103,67.0,67
104,75.0,75
105,25.0,25
106,31.0,31
107,78.0,78
108,27.0,27
109,47.0,47
110,60.0,60
111,46.0,46
112,30.0,30
113,41.0,41
114,108.0,108
115,66.0,66
116,117.0,117
117,71.0,71
118,69.0,69
119,134.0,134
120,117.0,117
121,149.0,149
122,118.0,118
123,200.0,200
124,196.0,196
125,200.0,200
126,200.0,200
127,164.0,164
128,114.0,114
129,126.0,126
130,150.0,150
131,188.0,188
132,168.0,168
133,179.0,179
134,200.0,200
135,200.0,200
136,152.0,152
137,200.0,200
138,200.0,200
139,200.0,200
140,134.0,134
141,118.0,118
142,93.0,93
143,154.0,154
144,130.0,130
145,165.0,165
146,146.0,146
147,130.0,130
148,24.0,24
149,103.0,103
150,200.0,200
151,191.0,191
152,148.0,148
153,200.0,200
154,200.0,200
155,200.0,200
156,139.0,139
157,75.0,75
158,53.0,53
159,68.0,68
160,111.0,111
161,107.0,107
162,117.0,117
163,180.0,180
164,147.0,147
165,191.0,191
166,167.0,167
167,151.0,151
168,142.0,142
169,136.0,136
170,114.0,114
171,103.0,103
172,98.0,98
173,119.0,119
174,124.0,124
175,179.0,179
176,200.0,200
177,200.0,200
178,159.0,159
179,111.0,111
180,122.0,122
181,138.0,138
182,116.0,116
183,139.0,139
184,148.0,148
185,103.0,103
186,92.0,92
187,143.0,143
188,118.0,118
189,142.0,142
190,159.0,159
191,200.0,200
192,200.0,200
193,200.0,200
194,200.0,200
195,200.0,200
196,200.0,200
197,200.0,200
198,200.0,200
199,200.0,200
