episodes,rewards,steps
0,21.0,21
1,14.0,14
2,19.0,19
3,16.0,16
4,17.0,17
5,69.0,69
6,22.0,22
7,13.0,13
8,32.0,32
9,12.0,12
10,20.0,20
11,14.0,14
12,59.0,59
13,16.0,16
14,14.0,14
15,9.0,9
16,10.0,10
17,11.0,11
18,9.0,9
19,11.0,11
20,9.0,9
21,23.0,23
22,12.0,12
23,8.0,8
24,10.0,10
25,15.0,15
26,9.0,9
27,35.0,35
28,14.0,14
29,10.0,10
30,9.0,9
31,9.0,9
32,10.0,10
33,15.0,15
34,11.0,11
35,9.0,9
36,11.0,11
37,15.0,15
38,18.0,18
39,21.0,21
40,75.0,75
41,72.0,72
42,49.0,49
43,71.0,71
44,51.0,51
45,164.0,164
46,129.0,129
47,102.0,102
48,156.0,156
49,200.0,200
50,200.0,200
51,200.0,200
52,200.0,200
53,200.0,200
54,200.0,200
55,200.0,200
56,200.0,200
57,200.0,200
58,200.0,200
59,200.0,200
60,200.0,200
61,200.0,200
62,200.0,200
63,200.0,200
64,200.0,200
65,200.0,200
66,200.0,200
67,200.0,200
68,200.0,200
69,200.0,200
70,200.0,200
71,200.0,200
72,200.0,200
73,200.0,200
74,200.0,200
75,200.0,200
76,200.0,200
77,200.0,200
78,200.0,200
79,200.0,200
80,200.0,200
81,200.0,200
82,200.0,200
83,200.0,200
84,200.0,200
85,200.0,200
86,200.0,200
87,200.0,200
88,200.0,200
89,200.0,200
90,200.0,200
91,200.0,200
92,200.0,200
93,200.0,200
94,200.0,200
95,200.0,200
96,200.0,200
97,200.0,200
98,200.0,200
99,200.0,200
