episodes,rewards,steps
0,10.0,27
1,-5.0,11
2,-5.0,12
3,-5.0,8
4,10.0,18
5,10.0,13
6,10.0,13
7,-5.0,13
8,10.0,12
9,10.0,14
10,10.0,17
11,10.0,16
12,10.0,13
13,10.0,13
14,10.0,14
15,10.0,12
16,10.0,16
17,10.0,13
18,10.0,15
19,10.0,17
20,-5.0,11
21,10.0,15
22,-5.0,5
23,10.0,14
24,-5.0,9
25,-5.0,16
26,-5.0,10
27,10.0,14
28,-5.0,11
29,10.0,14
30,10.0,15
31,10.0,13
32,-5.0,5
33,10.0,15
34,-5.0,8
35,10.0,14
36,-5.0,11
37,-5.0,8
38,-5.0,11
39,-5.0,6
40,10.0,16
41,-5.0,5
42,10.0,16
43,10.0,17
44,10.0,13
45,-5.0,8
46,10.0,14
47,10.0,13
48,10.0,15
49,10.0,13
50,-5.0,13
51,10.0,14
52,10.0,15
53,10.0,14
54,10.0,12
55,-5.0,9
56,10.0,12
57,-5.0,10
58,10.0,19
59,-5.0,6
60,10.0,15
61,10.0,14
62,-5.0,5
63,10.0,20
64,10.0,15
65,10.0,15
66,-5.0,11
67,-5.0,5
68,-5.0,7
69,-5.0,11
70,10.0,14
71,10.0,13
72,10.0,14
73,-5.0,5
74,-5.0,9
75,-5.0,13
76,-5.0,10
77,10.0,19
78,10.0,17
79,10.0,19
80,10.0,13
81,-5.0,5
82,10.0,14
83,10.0,14
84,-5.0,9
85,10.0,18
86,-5.0,6
87,10.0,14
88,10.0,12
89,10.0,16
90,10.0,15
91,-5.0,5
92,10.0,14
93,10.0,13
94,10.0,16
95,-5.0,5
96,-5.0,6
97,-5.0,13
98,10.0,12
99,10.0,14
